NOM DE LA PHARMACIE,QUARTIER / ZONE,ADRESSE / LOCALISATION,NUMÉRO DE TÉLÉPHONE
Pharmacie Diadji Abdou Diodio,Biscuiterie/Bopp,Usine Ben Tally,Non disponible
Pharmacie Tidjany Mouhamed El Habib,Biscuiterie/Bopp,"Niary Tally, Usines, n° 206",Non disponible
Pharmacie Macha-allah,Biscuiterie/Bopp,"Rue 9, Bopp, villa n° 186",Non disponible
Pharmacie Biscuiterie,Biscuiterie/Bopp,Niary Tally face marché guélaw,Non disponible
Pharmacie du Grand-Dakar,Biscuiterie/Bopp,"Niary Tally, Usines",Non disponible
Pharmacie Ouagou-Niayes,Biscuiterie/Bopp,Ouagou-Niayes n° 206,Non disponible
Pharmacie Kader DIOP,Biscuiterie/Bopp,"Ouagou-Niayes I, Usine Parc",Non disponible
Pharmacie El Hadji Mamadou Seydou BA,Biscuiterie/Bopp,"Rue Casamance, villa n°133",+221 33 864 19 95
Pharmacie ben Tally,Biscuiterie/Bopp,Usine ben Tally N°2050,+221 77 554 48 77
Pharmacie Mariama Mbacke,Biscuiterie/Bopp,"Cité bissap, Usine ben tally",Non disponible
Pharmacie Coopé,Biscuiterie/Bopp,Usine Ben Tally,Non disponible
Pharmacie Hamet Bathily,HLM,HLM III n° 880,Non disponible
Pharmacie Espérance HLM Sokhna Rokh,HLM,HLM III n° 108,Non disponible
Pharmacie Léopold Sédar Senghor,HLM,"Immeuble Vanner, Marché HLM",+221 33 835 41 11
Pharmacie Corniche des HLM V,HLM,HLM V villa n° 1918,Non disponible
Pharmacie Giga Santé,HLM,"7 bis, rue 14 Domaine de la SODIDA",Non disponible
Pharmacie Mamadou Racine SY,HLM,"HLM VI, villa n° 2906",Non disponible
Pharmacie Serigne Souhaibou Mbacké,HLM,"Rue 13, Av Cheikh A. Bamba, Cité-Port-Bopp",Non disponible
Pharmacie LA CLEMENCE,HLM,"Hlm II, pelle n°679",Non disponible
Pharmacie Mouhamed,HLM,"HLM, Angle Mouss, villa n°2964",Non disponible
Pharmacie Cite Douane,HLM,Non disponible,Non disponible
Pharmacie Radja,"Hann, Bel-Air",Scat-Urbam de Hann-Mariste J 84,+221 33 832 43 05
Pharmacie de l'étrier,"Hann, Bel-Air","Hann, km 5",Non disponible
Pharmacie HLM Maristes,"Hann, Bel-Air",HLM Maristes,Non disponible
Pharmacie Couro,"Hann, Bel-Air",Hann-Mariste II n° 197 R,Non disponible
Pharmacie Mouhamadoul Amine,"Hann, Bel-Air","Yarakh-Kip, Hann",Non disponible
Pharmacie Touba,"Hann, Bel-Air",Hann-Mariste,Non disponible
Pharmacie Carrosserie,"Hann, Bel-Air",Carrosserie Marchand,Non disponible
Pharmacie de la Rocade,"Hann, Bel-Air",Rocade Fann-Bel-air,Non disponible
Pharmacie Hann-Yarakh,"Hann, Bel-Air","Km 8, Bd du Centenaire, Hann-Yarakh",Non disponible
Pharmacie Marinas,"Hann, Bel-Air","Hann-Bel-Air, Route des Hydrocarbures",Non disponible
Pharmacie Alliance Maristes,"Hann, Bel-Air","km 7, tableau Ferraille, Hann",Non disponible
Pharmacie du Potou,"Hann, Bel-Air","Nationale, route de Rufisque x rue 6",Non disponible
Pharmacie Abdourahmane,"Hann, Bel-Air",Scat-Urbam de Hann Mariste B65,Non disponible
Pharmacie Hann-Mariste,"Hann, Bel-Air","Hann, Route du Service Géographique",Non disponible
Pharmacie Hann-Pecheurs,"Hann, Bel-Air",Hann-Pécheurs,Non disponible
Pharmacie Zahra,"Hann, Bel-Air",HLM de Hann-Mariste,Non disponible
Pharmacie Espace Residence,"Hann, Bel-Air",Espace Résidence III Hann Mariste,Non disponible
Pharmacie BEL AIR PHARMACY,"Hann, Bel-Air","1292, 2 Av. Felix Eboue",Non disponible
Pharmacie De La Renaissance,Ouakam,Av Cheikh Anta Diop,+221 33 860 24 82
Pharmacie Des Mamelles,Ouakam,Rond point des mamelles,+221 33 820 56 65
Pharmacie City Assembler,Ouakam,Non disponible,Non disponible
Pharmacie Al Amine,Parcelles Assainies,Non disponible,+221 33 860 84 84
Pharmacie Populaire,Parcelles Assainies,Unité 13,+221 33 835 09 13
Pharmacie Yacine,Parcelles Assainies,Près centre de santé Abdoul Aziz Sy Dabakh,+221 33 835 78 58
Pharmacie Mame Fama Sy,Parcelles Assainies,Non disponible,Non disponible
Pharmacie du Royaume Sibuk,Parcelles Assainies,Parcelles Assainies U 17,+221 33 855 06 60
Pharmacie Baraka,Parcelles Assainies,Parcelles Assainies,Non disponible
Pharmacie Bousso Dramé,Parcelles Assainies,Parcelles Assainies,Non disponible
Pharmacie Cheikh Ibra Fall Yare,Yoff,Yoff 3,Non disponible
Pharmacie El. H. Abdourahmane Mbengue,Yoff,Yoff Tonghor,+221 33 820 50 80
Pharmacie Victoire,Yoff,Ouest Foire Cité Jean Lefevre,+221 33 820 84 38
Pharmacie Xandar,Yoff,Cité Xandar Yoff ex villa 102,+221 33 820 28 01
Pharmacie Abdoulaye Mbengue,Thiaroye,Thiaroye sur Mer,+221 77 578 91 41
Pharmacie S.M. Fadilou Mbacké,Patte D'oie,"Patte D'oie rue 11, derrière le centre de santé Nabil Choucair",+221 33 835 78 00
Pharmacie Pikinoise,Pikine,"Rte des Niayes, Djeddah 2",+221 33 854 28 40
Pharmacie El Amin Pikine,Pikine,Marché central poisson,+221 33 854 17 10
Pharmacie du Rail / Pikine,Pikine,Guignaw Rail / Pikine,+221 33 850 33 86
Pharmacie Aly Maram Wade,Pikine,Non disponible,Non disponible
Pharmacie Arrazak,Mbao,Zac Mbao,+221 77 360 63 72
Pharmacie Grand Mbao,Mbao,Dr Mohamed Traore,+221 33 836 56 44
Pharmacie Wassour,Grand Mbao,Grand Mbao,+221 33 833 52 19
Pharmacie Marie Esseteine Manga,Keur Massar,"Jaxaay 2, près de l'ancien terminus 70",+221 77 397 11 11
Pharmacie Thierno M.Seydou BA,Guédiawaye,"En face de l'hôpital Roi Baudouin, Guédiawaye",+221 33 837 38 37
Pharmacie Thiele,Guédiawaye,Guédiawaye Marché Boubes,+221 33 837 68 81
Pharmacie Sant Yalla,Guédiawaye,Guédiawaye,+221 77 650 85 51
Pharmacie Cheikh Wade Kadia,Guédiawaye,Non disponible,Non disponible
Pharmacie Birane Ly,Keur Massar,Keur Massar,+221 77 645 81 95
Pharmacie Tamba,Keur Massar,Keur Massar Nord,+221 33 892 60 56
